type,name,wei,cal
과일류,감_단감,100g,44kcal
과일류,감_연시,100g,56kcal
과일류,구아바,100g,47kcal
과일류,귤,100g,47kcal
과일류,금귤(낑깡),100g,68kcal
과일류,다래,100g,54kcal
과일류,딸기,200g,40kcal
과일류,라임,100g,31kcal
과일류,레몬,100g,31kcal
과일류,롱간스,100g,58kcal
과일류,매실,100g,29kcal
과일류,맹고,100g,68kcal
과일류,머루,100g,69kcal
과일류,멜론,100g,38kcal
과일류,모과,100g,61kcal
과일류,무화과,100g,43kcal
과일류,배,100g,39kcal
과일류,버찌,100g,60kcal
과일류,복숭아,100g,34kcal
과일류,블루베리,100g,52kcal
과일류,사과,100g,44kcal
과일류,산딸기,100g,22kcal
과일류,살구,100g,28kcal
과일류,석류,100g,67kcal
과일류,수박,200g,62kcal
과일류,아보카도,100g,191kcal
과일류,앵두,100g,29kcal
과일류,양수박,100g,31kcal
과일류,엘더베리,100g,73kcal
과일류,오디,100g,50kcal
과일류,오렌지,100g,43kcal
과일류,올리브,100g,72kcal
과일류,자두,100g,46kcal
과일류,참외,100g,31kcal
과일류,코코넛,13g,85kcal
과일류,크랜베리,100g,49kcal
과일류,키위,100g,54kcal
과일류,파인애플,100g,23kcal
과일류,파파야,100g,25kcal
과일류,포도,100g,50kcal
과일류,화채,150g,51kcal
과일류,후르트칵테일,100g,79kcal
구이류,가오리구이,72g,56kcal
구이류,가자미구이,75g,116kcal
구이류,갈매기살구이,61g,84kcal
구이류,갈치구이,72g,104kcal
구이류,감자구이,130g,85kcal
구이류,고기산적,161g,230kcal
구이류,고등어구이,72g,128kcal
구이류,고등어자반,72g,120kcal
구이류,굴비구이,70g,232kcal
구이류,긴다로구이,70g,67kcal
구이류,김구이,3g,13kcal
구이류,꽁치구이,72g,115kcal
구이류,낙지구이,142g,131kcal
구이류,내장구이,92g,108kcal
구이류,넙치구이,72g,72kcal
구이류,노가리구이,20g,71kcal
구이류,노래미구이,72g,66kcal
구이류,닭갈비,100g,130kcal
구이류,닭내장구이,92g,167kcal
구이류,닭불고기,102g,133kcal
구이류,더덕구이,67g,62kcal
구이류,더덕산적,83g,126kcal
구이류,도라지구이,107g,133kcal
구이류,도미구이,72g,76kcal
구이류,도미소금구이,75g,76kcal
구이류,돈육구이(생강),107g,199kcal
구이류,동태구이,72g,51kcal
구이류,돼지갈비구이,185g,348kcal
구이류,돼지고기구이,98g,194kcal
구이류,돼지고기불고기(간장),165g,377kcal
구이류,돼지고기불고기(고추장),182g,399kcal
구이류,돼지불고기,109g,219kcal
구이류,두부양념구이,110g,134kcal
구이류,떡꼬치구이,116g,282kcal
구이류,떡산적,140g,271kcal
구이류,멧돼지고기구이,111g,223kcal
구이류,명태포,18g,67kcal
구이류,민어구이,72g,88kcal
구이류,방어구이,70g,212kcal
구이류,밴뎅이구이,72g,157kcal
구이류,뱅어포구이,25g,67kcal
구이류,병어구이,72g,85kcal
구이류,복구이,72g,62kcal
구이류,볼락구이,72g,72kcal
구이류,북어양념구이,38g,101kcal
구이류,불고기,120g,157kcal
구이류,불고기(오징어),170g,204kcal
구이류,삼겹살구이,62g,207kcal
구이류,삼치구이,72g,95kcal
구이류,새치구이,70g,108kcal
구이류,서대구이,72g,66kcal
구이류,소세지구이,64g,178kcal
구이류,쇠갈비구이,114g,224kcal
구이류,나물,64g,127kcal
구이류,쇠고기로스구이,64g,101kcal
구이류,쇠고기불고기,93g,184kcal
구이류,쇠고기산적,161g,216kcal
구이류,쏨뱅이구이,72g,66kcal
구이류,양미리구이,72g,86kcal
구이류,연어구이,72g,74kcal
구이류,열기구이,72g,65kcal
구이류,오리고기구이,61g,192kcal
구이류,오징어구이,18g,38kcal
구이류,옥수수구이,50g,70kcal
구이류,옥수수버터구이,56g,107kcal
구이류,임연수구이,72g,116kcal
구이류,장어구이,98g,220kcal
구이류,적어구이,72g,60kcal
구이류,전어구이,72g,88kcal
구이류,조기구이,72g,65kcal
구이류,주물럭,242g,557kcal
구이류,쥐포구이,18g,59kcal
구이류,참치구이,72g,79kcal
구이류,청어구이,72g,114kcal
구이류,칠면조구이,60g,64kcal
구이류,통닭구이,61g,147kcal
구이류,햄구이,40g,52kcal
구이류,햄버거스테이크,257g,397kcal
구이류,가자미데리야끼구이,180g,243kcal
구이류,김구이(달래장),3g,10kcal
구이류,연어스테이크,465g,573kcal
구이류,찹스테이크,200g,386kcal
구이류,감자그라탱,100g,166kcal
구이류,고구마그라탱,194g,335kcal
구이류,두부스테이크,145g,93kcal
구이류,등심스테이크,315g,533kcal
구이류,안심스테이크,487g,714kcal
구이류,콘치즈,160g,354kcal
구이류,퀘사디아,155g,202kcal
구이류,치즈전복구이,85g,99kcal
구이류,치즈버터새우구이,95g,106kcal
구이류,메로구이,208g,579kcal
국탕류,가지냉국,86g,44kcal
국탕류,갈비탕,136g,176kcal
국탕류,감자국,134g,111kcal
국탕류,감자국(당면),50g,45kcal
국탕류,감자국(양파),154g,118kcal
국탕류,게장국,151g,74kcal
국탕류,경단미역국,22g,76kcal
국탕류,고동국(올갱이국),42g,43kcal
국탕류,고등어국,122g,147kcal
국탕류,고비국,89g,70kcal
국탕류,고사리국,84g,75kcal
국탕류,곰국,63g,79kcal
국탕류,곱창국,156g,99kcal
국탕류,굴국,122g,81kcal
국탕류,근대국,95g,46kcal
국탕류,된장국(근대),98g,48kcal
국탕류,김국,74g,156kcal
국탕류,김치국(고기없음),155g,94kcal
국탕류,김치국(돼지고기),156g,117kcal
국탕류,김치국(두부),102g,56kcal
국탕류,김치국(소시지),93g,84kcal
국탕류,김치국(참치),75g,32kcal
국탕류,김치무국,89g,28kcal
국탕류,꼬리곰탕,110g,178kcal
국탕류,꽁치국,122g,134kcal
국탕류,된장국(꽃게),166g,98kcal
국탕류,꽃게탕,146g,87kcal
국탕류,냉이국,137g,99kcal
국탕류,냉이국(바지락),152g,109kcal
국탕류,냉이국(콩가루),147g,141kcal
국탕류,느타리버섯국,67g,30kcal
국탕류,달걀국,112g,273kcal
국탕류,달래국,133g,86kcal
국탕류,닭개장,181g,149kcal
국탕류,닭고기국,130g,87kcal
국탕류,닭곰국,173g,274kcal
국탕류,닭무국,130g,87kcal
국탕류,닭백숙,173g,274kcal
국탕류,당면국,83g,140kcal
국탕류,당면국(새우),187g,298kcal
국탕류,당면국(양배추),98g,143kcal
국탕류,대구국,180g,121kcal
국탕류,도가니탕,109g,207kcal
국탕류,동태국,112g,67kcal
국탕류,동태국(무),120g,68kcal
국탕류,돼지고기국,117g,106kcal
국탕류,된장국(감자고비),129g,94kcal
국탕류,된장국(냉이),137g,99kcal
국탕류,된장국(단배추),113g,76kcal
국탕류,된장국(달래),130g,77kcal
국탕류,된장국(두부),123g,111kcal
국탕류,된장국(미역),86g,73kcal
국탕류,된장국(배추),109g,63kcal
국탕류,된장국(버섯),137g,80kcal
국탕류,된장국(시금치),86g,57kcal
국탕류,된장국(시래기),109g,63kcal
국탕류,아욱된장국,137g,79kcal
국탕류,된장국(양배추),127g,77kcal
국탕류,된장국(열무),127g,77kcal
국탕류,된장국(우거지),127g,77kcal
국탕류,된장국(주재료없음),117g,75kcal
국탕류,된장국(콩나물),77g,49kcal
국탕류,된장국(팽이),130g,85kcal
국탕류,된장국(해물),141g,112kcal
국탕류,된장국(호박),137g,80kcal
국탕류,두부계란탕,135g,140kcal
국탕류,두부국,124g,112kcal
국탕류,두부국(근대),134g,114kcal
국탕류,두부국(무),144g,116kcal
국탕류,두부국(실파),129g,113kcal
국탕류,들깨국,80g,57kcal
국탕류,떡국,197g,440kcal
국탕류,명태국,122g,75kcal
국탕류,모시조개국,61g,46kcal
국탕류,무국,79g,63kcal
국탕류,무국(된장),71g,35kcal
국탕류,무국(된장_김치),104g,40kcal
국탕류,무국(된장_쇠고기),86g,54kcal
국탕류,무국(된장_쇠고기_김치),119g,60kcal
국탕류,무국(새우젓),93g,57kcal
국탕류,무채어묵국,114g,63kcal
국탕류,미역국,39g,88kcal
국탕류,미역국(감자),39g,49kcal
국탕류,미역국(대합),21g,23kcal
국탕류,미역국(멸치),26g,46kcal
국탕류,미역국(쇠고기),50g,67kcal
국탕류,미역국(조갯살),49g,95kcal
국탕류,미역국(홍합),53g,65kcal
국탕류,미역냉국,65g,53kcal
국탕류,미역오이냉국,108g,29kcal
국탕류,배추국,80g,43kcal
국탕류,배추국(시금치),95g,62kcal
국탕류,배추국(콩가루),100g,126kcal
국탕류,배추국(호박),100g,64kcal
국탕류,버섯국,87g,34kcal
국탕류,보신탕,156g,183kcal
국탕류,복국(복지리),118g,81kcal
국탕류,북어국,88g,79kcal
국탕류,북어국(계란),98g,95kcal
국탕류,북어국(표고버섯),100g,112kcal
국탕류,사골탕,79g,91kcal
국탕류,새우젓호박국,108g,48kcal
국탕류,선지국,151g,66kcal
국탕류,설렁탕,120g,184kcal
국탕류,쇠고기국,101g,88kcal
국탕류,쇠고기국(감자),71g,79kcal
국탕류,쇠고기국(무),80g,76kcal
국탕류,쇠고기국(양배추),121g,92kcal
국탕류,순대국,147g,117kcal
국탕류,순두부국,124g,90kcal
국탕류,스프_쇠고기스프,300g,114kcal
국탕류,스프_쇠고기야채스프,300g,72kcal
국탕류,스프_양송이스프,300g,63kcal
국탕류,스프_콩소메,300g,24kcal
국탕류,스프_크림스프,300g,21kcal
국탕류,시금치국,67g,51kcal
국탕류,시금치국(풋고추),71g,52kcal
국탕류,시래기국,74g,55kcal
국탕류,쑥국,91g,69kcal
국탕류,아우국(건새우),67g,75kcal
국탕류,아욱국,97g,57kcal
국탕류,알탕,164g,137kcal
국탕류,어묵국(감자),66g,66kcal
국탕류,어묵국(무),127g,144kcal
국탕류,쑥갓어묵국,127g,145kcal
국탕류,어묵국(오뎅국),107g,140kcal
국탕류,얼갈이국,89g,40kcal
국탕류,열무국,96g,76kcal
국탕류,영계백숙(삼계탕),124g,226kcal
국탕류,오골계탕,109g,200kcal
국탕류,오리탕,109g,208kcal
국탕류,오이냉국,104g,24kcal
국탕류,오이냉국(콩나물),114g,27kcal
국탕류,오징어국,83g,51kcal
국탕류,완자탕,73g,131kcal
국탕류,우거지국,59g,47kcal
국탕류,우거지국(콩나물),69g,50kcal
국탕류,우거지국(홍합),99g,41kcal
국탕류,우족탕,258g,44kcal
국탕류,유부국,78g,61kcal
국탕류,육개장,193g,152kcal
국탕류,육수,70g,116kcal
국탕류,재치조개국,89g,84kcal
국탕류,조개국,79g,50kcal
국탕류,조개국(근대),89g,52kcal
국탕류,조개국(냉이),94g,55kcal
국탕류,조개국(부추),89g,52kcal
국탕류,조개국(시금치),89g,53kcal
국탕류,쑥갓조개국,89g,52kcal
국탕류,조개국(콩나물),89g,54kcal
국탕류,조개살(두부국),96g,66kcal
국탕류,조개살배추국,125g,64kcal
국탕류,짬뽕국,152g,129kcal
국탕류,초계탕(초개탕_초교탕),260g,300kcal
국탕류,추어탕,163g,157kcal
국탕류,콩나물국(북어),66g,114kcal
국탕류,콩나물국,83g,37kcal
국탕류,콩나물국(고춧가루),87g,43kcal
국탕류,콩나물국(고춧가루_쇠고기),99g,49kcal
국탕류,콩나물국(김치),81g,29kcal
국탕류,콩나물국(쇠고기),95g,43kcal
국탕류,콩나물무채국,125g,136kcal
국탕류,토란국,78g,57kcal
국탕류,파국,52g,80kcal
국탕류,파국(계란),52g,80kcal
국탕류,팽이버섯국,67g,30kcal
국탕류,표고부추계란국,52g,68kcal
국탕류,해물탕,129g,85kcal
국탕류,해장국,133g,94kcal
국탕류,호박국,60g,52kcal
국탕류,호박달래찌개,116g,82kcal
국탕류,호박새우젓국,98g,53kcal
국탕류,호박잎된장국,98g,63kcal
국탕류,홍합국,54g,56kcal
국탕류,홍합무국,168g,122kcal
국탕류,브로콜리스프,50g,103kcal
국탕류,유채된장국,50g,55kcal
국탕류,봄동된장국,50g,50kcal
국탕류,감자수프,500g,478kcal
국탕류,게살수프,231g,198kcal
국탕류,쇠고기크림수프,220g,80kcal
국탕류,야채수프,220g,75kcal
국탕류,샤부샤부,352g,276kcal
국탕류,스키야키,176g,138kcal
국탕류,해물샤부샤부,289g,143kcal
국탕류,미소된장국,64g,65kcal
기타,과자및스넥류,110g,530kcal
기타,껌류,3g,11kcal
기타,마가린,6g,43kcal
기타,메쉬드포테이토,146g,188kcal
기타,버터,6g,44kcal
기타,사탕,3g,11kcal
기타,생선통조림,60g,96kcal
기타,시리얼,110g,446kcal
기타,야채통조림,60g,7kcal
기타,엿,10g,38kcal
기타,육류통조림,60g,138kcal
기타,초코렛,28g,110kcal
기타,한과,60g,275kcal
기타,낫토,50g,100kcal
김치류,갓김치,50g,20kcal
김치류,고들빼기김치,60g,39kcal
김치류,깍두기,50g,16kcal
김치류,깻잎김치,15g,13kcal
김치류,나박김치(물김치),250g,22kcal
김치류,단무지,70g,8kcal
김치류,동치미,250g,27kcal
김치류,무청김치,50g,11kcal
김치류,무초절이,85g,23kcal
김치류,배추김치,60g,10kcal
김치류,백김치,67g,14kcal
김치류,보쌈김치,74g,51kcal
김치류,부추김치,61g,21kcal
김치류,양배추김치,95g,35kcal
김치류,열무김치,50g,11kcal
김치류,오이소배기,89g,21kcal
김치류,오이지,70g,5kcal
김치류,총각김치,50g,21kcal
김치류,파김치,50g,26kcal
나물_무침류,쫄면야채무침,90g,214kcal
나물_무침류,쑥갓양파무침,70g,25kcal
나물_무침류,가지나물,237g,355kcal
나물_무침류,감자나물,53g,123kcal
나물_무침류,감자샐러드,20g,25kcal
나물_무침류,게맛살무침,100g,106kcal
나물_무침류,고구마줄기나물,29g,105kcal
나물_무침류,고비나물,62g,58kcal
나물_무침류,고사리나물,53g,105kcal
나물_무침류,고추잎나물,33g,22kcal
나물_무침류,골뱅이무침,121g,99kcal
나물_무침류,곰피무침,84g,185kcal
나물_무침류,과일샐러드,45g,331kcal
나물_무침류,굴무생채,131g,90kcal
나물_무침류,굴무침,88g,86kcal
나물_무침류,근대나물,84g,36kcal
나물_무침류,기타샐러드,165g,216kcal
나물_무침류,김무침,4g,15kcal
나물_무침류,깻잎나물,53g,102kcal
나물_무침류,꼬막무침,48g,59kcal
나물_무침류,꼴뚜기무침,139g,68kcal
나물_무침류,낙지무침,139g,56kcal
나물_무침류,냉이나물,93g,62kcal
나물_무침류,노가리채무침,30g,99kcal
나물_무침류,노각나물(노각무침),88g,35kcal
나물_무침류,다시마무침,84g,31kcal
나물_무침류,단무지무침,60g,24kcal
나물_무침류,달래무침,83g,39kcal
나물_무침류,달래무침(단무지),93g,40kcal
나물_무침류,닭무침,78g,66kcal
나물_무침류,대구포무침,30g,91kcal
나물_무침류,더덕무침,69g,70kcal
나물_무침류,도라지나물,38g,63kcal
나물_무침류,도라지생채,52g,50kcal
나물_무침류,도라지생채(오이),58g,46kcal
나물_무침류,돌나물무침,84g,26kcal
나물_무침류,두릅나물,73g,51kcal
나물_무침류,떡맛살샐러드,120g,215kcal
나물_무침류,뜸부기나물,67g,147kcal
나물_무침류,마늘쫑무침,92g,72kcal
나물_무침류,머위나물,93g,59kcal
나물_무침류,메밀나물,53g,120kcal
나물_무침류,멸치무침,30g,90kcal
나물_무침류,무말랭이무침,34g,70kcal
나물_무침류,무미역생채,74g,24kcal
나물_무침류,무생채,64g,30kcal
나물_무침류,무숙채,48g,57kcal
나물_무침류,무청무침,67g,25kcal
나물_무침류,묵무침(녹두묵),80g,45kcal
나물_무침류,묵무침(도토리묵),82g,53kcal
나물_무침류,묵무침(메밀묵),80g,59kcal
나물_무침류,문어무침,130g,82kcal
나물_무침류,물미역무침,76g,64kcal
나물_무침류,물쑥무침,84g,36kcal
나물_무침류,미나리나물,89g,30kcal
나물_무침류,미나리초무침,78g,25kcal
나물_무침류,미역나물,78g,23kcal
나물_무침류,미역오이초무침,60g,22kcal
나물_무침류,미역줄기무침,65g,33kcal
나물_무침류,미역줄기무침(고추장_된장),70g,51kcal
나물_무침류,미역줄기무침(식초),66g,36kcal
나물_무침류,미역초무침,84g,38kcal
나물_무침류,배추겉절이,14g,15kcal
나물_무침류,배추나물,90g,38kcal
나물_무침류,버섯무침,54g,26kcal
나물_무침류,부추겉절이,83g,52kcal
나물_무침류,부추무침,48g,30kcal
나물_무침류,부추무침(양배추),58g,32kcal
나물_무침류,북어채무침,28g,98kcal
나물_무침류,비름나물,78g,42kcal
나물_무침류,사태초무침,76g,93kcal
나물_무침류,삼무침,75g,60kcal
나물_무침류,상추겉절이,90g,62kcal
나물_무침류,상추절이,18g,20kcal
나물_무침류,새우무침,27g,85kcal
나물_무침류,소라무침,99g,103kcal
나물_무침류,쇠고기무나물,83g,89kcal
나물_무침류,숙주나물,37g,10kcal
나물_무침류,숙주맛살무침,77g,20kcal
나물_무침류,숙주미나리무침,73g,14kcal
나물_무침류,시금치나물,86g,54kcal
나물_무침류,시금치나물(된장),96g,57kcal
나물_무침류,시금치나물(소금),92g,45kcal
나물_무침류,시래기나물,54g,31kcal
나물_무침류,쑥갓나물,85g,42kcal
나물_무침류,쑥갓무침(유부),100g,94kcal
나물_무침류,쑥갓생채,82g,46kcal
나물_무침류,씀바귀나물,27g,33kcal
나물_무침류,야채샐러드,64g,112kcal
나물_무침류,야채샐러드(양배추),91g,120kcal
나물_무침류,야채쌈,98g,67kcal
나물_무침류,양배추겉절이,95g,35kcal
나물_무침류,양배추무침,86g,50kcal
나물_무침류,양배추샐러드,106g,122kcal
나물_무침류,양배추오이샐러드,106g,122kcal
나물_무침류,양상추샐러드,86g,110kcal
나물_무침류,양파겉절이,64g,32kcal
나물_무침류,어묵미나리무침,43g,37kcal
나물_무침류,열무무침,98g,59kcal
나물_무침류,오이나물,49g,33kcal
